"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01001000"	4.5
"E01001001"	2.0
"E01001002"	4.8
"E01001003"	4.4
"E01001004"	4.0
"E01001005"	7.1
"E01001006"	3.8
"E01001007"	7.0
"E01001008"	4.9
"E01001009"	6.8
"E01001010"	3.9
"E01001011"	3.8
"E01001012"	4.7
"E01001013"	5.7
"E01001014"	2.3
"E01001015"	31.4
"E01001016"	39.2
"E01001017"	48.8
"E01001018"	34.5
"E01001019"	49.4
"E01001020"	17.3
"E01001021"	12.4
"E01001022"	36.3
"E01001023"	8.5
"E01001024"	17.5
"E01001025"	8.3
"E01001026"	4.5
"E01001027"	26.0
"E01001028"	80.1
"E01001029"	56.0
"E01001030"	62.3
"E01001031"	63.7
"E01001032"	74.8
"E01001033"	11.5
"E01001034"	8.8
"E01001035"	5.8
"E01001036"	57.8
"E01001037"	3.2
"E01001038"	6.1
"E01001039"	42.3
"E01001040"	4.4
"E01001041"	4.2
"E01001042"	1.8
"E01001043"	2.4
"E01001044"	19.5
"E01001045"	1.9
"E01001046"	4.9
"E01001047"	3.8
"E01001048"	1.6
"E01001049"	77.9
"E01001050"	2.1
"E01001051"	3.0
"E01001052"	5.3
"E01001053"	2.0
"E01001054"	3.0
"E01001055"	3.6
"E01001056"	2.3
"E01001057"	1.2
"E01001058"	8.3
"E01001059"	2.0
"E01001060"	5.0
"E01001061"	1.2
"E01001062"	34.6
"E01001063"	16.5
"E01001064"	44.4
"E01001065"	6.9
"E01001066"	2.2
"E01001067"	65.9
"E01001068"	37.7
"E01001069"	36.5
"E01001070"	24.7
"E01001071"	28.7
"E01001072"	80.8
"E01001073"	21.2
"E01001074"	14.6
"E01001075"	11.0
"E01001076"	1.9
"E01001077"	2.1
"E01001078"	3.3
"E01001079"	2.8
"E01001080"	3.2
"E01001081"	2.7
"E01001082"	2.3
"E01001083"	6.1
"E01001084"	25.9
"E01001085"	5.4
"E01001086"	3.6
"E01001087"	7.6
"E01001088"	5.0
"E01001089"	4.4
"E01001090"	3.5
"E01001091"	21.4
"E01001092"	44.1
"E01001093"	23.2
"E01001094"	64.1
"E01001095"	3.8
"E01001096"	56.6
"E01001097"	6.6
"E01001098"	67.2
"E01001099"	12.4
"E01001100"	6.3
"E01001101"	38.6
"E01001102"	43.9
"E01001103"	42.1
"E01001104"	38.6
"E01001105"	3.3
"E01001106"	18.1
"E01001107"	56.8
"E01001108"	57.3
"E01001109"	5.2
"E01001110"	5.2
"E01001111"	2.8
"E01001112"	3.3
"E01001113"	4.3
"E01001114"	3.2
"E01001115"	5.7
"E01001116"	6.7
"E01001117"	3.0
"E01001118"	5.1
"E01001119"	10.6
"E01001120"	10.5
"E01001121"	73.1
"E01001122"	31.3
"E01001123"	27.3
"E01001124"	30.2
"E01001125"	6.5
"E01001126"	11.9
"E01001127"	8.8
"E01001128"	2.5
"E01001129"	7.7
"E01001130"	2.5
"E01001131"	7.2
"E01001132"	31.9
"E01001133"	25.0
"E01001134"	24.5
"E01001135"	23.3
"E01001136"	3.1
"E01001137"	9.0
"E01001138"	5.0
"E01001139"	3.3
"E01001140"	3.2
"E01001141"	3.3
"E01001142"	3.4
"E01001143"	3.4
"E01001144"	1.6
"E01001145"	1.8
"E01001146"	5.2
"E01001147"	6.0
"E01001148"	3.5
"E01001149"	4.6
"E01001150"	3.8
"E01001151"	7.4
"E01001152"	3.9
"E01001153"	3.2
"E01001154"	3.6
"E01001155"	2.1
"E01001156"	6.4
"E01001157"	6.0
"E01001158"	2.8
"E01001159"	35.1
"E01001160"	8.3
"E01001161"	7.9
"E01001162"	7.8
"E01001163"	7.2
"E01001164"	4.0
"E01001165"	5.5
"E01001166"	3.1
"E01001167"	2.5
"E01001168"	3.4
"E01001169"	3.6
"E01001170"	2.8
"E01001171"	13.2
"E01001172"	4.6
"E01001173"	13.4
"E01001174"	5.2
"E01001175"	6.3
"E01001176"	5.9
"E01001177"	6.5
"E01001178"	2.9
"E01001179"	6.8
"E01001180"	6.2
"E01001181"	3.5
"E01001182"	6.0
"E01001183"	5.8
"E01001184"	4.8
"E01001185"	4.4
"E01001186"	3.8
"E01001187"	2.5
"E01001188"	4.0
"E01001189"	2.7
"E01001190"	2.4
"E01001191"	2.9
"E01001192"	4.0
"E01001193"	6.3
"E01001194"	4.2
"E01001195"	4.8
"E01001196"	3.2
"E01001197"	8.0
"E01001198"	3.3
"E01001199"	3.0
"E01001200"	3.9
"E01001201"	3.3
"E01001202"	2.5
"E01001203"	1.6
"E01001204"	7.4
"E01001205"	5.1
"E01001206"	1.2
"E01001207"	4.0
"E01001208"	1.4
"E01001209"	3.2
"E01001210"	1.9
"E01001211"	4.0
"E01001212"	8.2
"E01001213"	8.1
"E01001214"	7.4
"E01001215"	5.2
"E01001216"	4.4
"E01001217"	5.7
"E01001218"	5.4
"E01001219"	3.1
"E01001220"	3.9
"E01001221"	4.0
"E01001222"	2.7
"E01001223"	20.7
"E01001224"	16.9
"E01001225"	11.3
"E01001226"	12.0
"E01001227"	12.3
"E01001228"	12.4
"E01001229"	2.8
"E01001230"	7.3
"E01001231"	24.1
"E01001232"	5.3
"E01001233"	2.9
"E01001234"	11.3
"E01001235"	5.3
"E01001236"	6.6
"E01001237"	10.4
"E01001238"	1.5
"E01001239"	5.0
"E01001240"	6.1
"E01001241"	5.7
"E01001242"	9.1
"E01001243"	2.1
"E01001244"	1.3
"E01001245"	1.2
"E01001246"	6.6
"E01001247"	3.8
"E01001248"	3.5
"E01001249"	0.8
"E01001250"	2.1
"E01001251"	2.8
"E01001252"	4.5
"E01001253"	3.5
"E01001254"	1.9
"E01001255"	2.3
"E01001257"	2.1
"E01001258"	4.1
"E01001259"	5.4
"E01001260"	4.5
"E01001261"	3.9
"E01001262"	2.8
"E01001263"	3.0
"E01001264"	20.6
"E01001265"	4.4
"E01001266"	3.4
"E01001267"	3.7
"E01001268"	11.7
"E01001269"	3.0
"E01001270"	3.0
"E01001271"	2.9
"E01001272"	6.2
"E01001273"	37.0
"E01001274"	7.3
"E01001275"	11.8
"E01001276"	4.7
"E01001277"	2.8
"E01001278"	23.1
"E01001279"	5.9
